Sequences producing,IS Family,Group,Origin,Score,E
ISAch1,IS5,IS5,Achromobacter sp.,72,1.00E-08
ISAcr5,IS1380,,Acidiphilium cryptum,42,9.3
ISAcr4,IS1380,,Acidiphilium cryptum,42,9.3
TnAs3,Tn3,,Aeromonas salmonicida,54,0.002
TnAs2,Tn3,,Aeromonas salmonicida,46,0.6
ISAs2,IS30,-,Aeromonas salmonicida,46,0.6
ISAs28,IS21,,Aeromonas salmonicida,44,2.4
ISAs27,IS21,,Aeromonas salmonicida,44,2.4
TnAs1,Tn3,,Aeromonas salmonicida,42,9.3
IS692,IS66,,Agrobacterium tumefaciens,42,9.3
ISAmu1,IS1595,ISNwi1,Akkermansia muciniphila,48,0.15
ISVsa5,IS4,IS10,Aliivibrio salmonicida,42,9.3
ISAnsp12,IS66,,Anaeromyxobacter sp.,46,0.6
ISAnsp11,IS3,IS3,Anaeromyxobacter sp.,42,9.3
ISAnsp4,IS21,,Anaeromyxobacter sp.,42,9.3
ISAau4,Tn3,,Arthrobacter aurescens,42,9.3
ISArsp6,Tn3,,Arthrobacter sp.,66,6.00E-07
ISAzo4,IS21,,Azoarcus sp.,46,0.6
ISAzo26,IS91,,Azoarcus sp.,44,2.4
ISAzo18,IS3,IS150,Azoarcus sp.,42,9.3
ISAzo19,IS66,,Azoarcus sp.,42,9.3
ISAzba1,ISKra4,ISAzba1,Azospirillum brasilense,42,9.3
ISAli8,IS110,,Azospirillum lipoferum,42,9.3
ISAzs17,Tn3,,Azospirillum sp.,56,6.00E-04
ISAzs30,IS21,,Azospirillum sp.,46,0.6
ISAzs3,IS1380,,Azospirillum sp.,42,9.3
ISAzvi5,IS4,IS10,Azotobacter vinelandii,44,2.4
ISBlo2,IS21,,Bifidobacterium longum,42,9.3
ISBlma1,IS4,IS4Sa,Blastopirellula marina,44,2.4
ISBj5_B,IS5,IS5,Bradyrhizobium japonicum,42,9.3
ISBm2,IS3,IS407,Brucella melitensis,42,9.3
ISBuce1,IS1182,,Burkholderia cepacia,42,9.3
IS931,IS256,-,Burkholderia cepacia,42,9.3
ISCc3,IS3,IS150,Caulobacter crescentus,42,9.3
ISCge1,IS256,IS1249,Corynebacterium genitalium,42,9.3
ISDsh2,IS3,IS407,Dinoroseobacter shibae,46,0.6
ISSfr2,IS110,IS1111,Ensifer fredii,42,9.3
ISEam1,IS3,IS51,Erwinia amylovora,44,2.4
ISEc61,IS5,IS1031,Escherichia coli,44,2.4
ISEc41,IS200/IS605,,Escherichia coli,42,9.3
ISFsp7,IS5,ISL2,Frankia sp.,42,9.3
ISFsp13,ISAzo13,,Frankia sp.,42,9.3
ISGau7,IS21,,Gemmatimonas aurantiaca,42,9.3
ISGur8,IS21,,Geobacter uraniumreducens,46,0.6
ISHth2,ISH6,,Halococcus thailandensis,46,0.6
ISHwa9,IS4,IS4Sa,Haloquadratum walsbyi,42,9.3
ISHwa8,IS4,IS4Sa,Haloquadratum walsbyi,42,9.3
ISIde1,ISL3,,Ideonella dechloratans,44,2.4
